100,1,192.94,88.94
100,2,214.26,106.03
100,3,225.3,113.01
100,4,217.39,106.2
100,5,234.56,119.27
100,6,238.71,120.61
100,7,228.62,104.78
100,8,238.76,115.39
100,9,248.32,119.53
100,10,255.33,130.37
100,11,251.59,125.78
100,12,247.5,118.86
100,13,279.52,140.16
100,14,295.15,149.82
100,15,284.65,141.27
100,16,280.8,147.23
100,17,277.76,133.4
100,18,299.4,145.14
100,19,281.27,136.09
100,20,285.74,145.02
100,21,293.67,145.46
100,22,304.02,149.77
100,23,314.21,161.16
100,24,292.08,142.01
100,25,303.31,150.36
100,26,309.23,150.78
100,27,326.03,166.66
100,28,312.14,150.69
100,29,305.02,148.18
100,30,316.85,157.94
100,31,301.36,151.6
100,32,308.77,157.53
100,33,330.96,164.4
100,34,325.65,165.67
100,35,332.13,161.66
100,36,297.64,141.86
100,37,312.62,153.2
100,38,313.29,157.01
100,39,296.83,151.35
100,40,332.82,165.23
100,41,322.38,154.69
100,42,322.22,157.21
100,43,318.96,156.95
100,44,321.18,160.42
100,45,320.49,156.72
100,46,340.91,168.99
100,47,337.68,173.8
100,48,321.48,149.71
100,49,312.24,156.69
100,50,321.9,157.74
100,51,321.35,155.77
100,52,341.7,168.92
100,53,314.29,160.94
100,54,338.12,168.26
100,55,335.57,167.26
100,56,309.71,154.48
100,57,328.87,154.16
100,58,331.11,167.05
100,59,321.18,156.92
100,60,317.98,158.03
100,61,343.63,168.63
100,62,317.98,157.21
100,63,322.44,154.61
100,64,323.7,160.0
100,65,302.86,148.37
100,66,302.87,142.67
100,67,324.02,162.27
100,68,319.65,159.89
100,69,327.02,162.08
100,70,301.88,148.83
100,71,308.24,150.49
100,72,316.38,155.88
100,73,305.42,154.63
100,74,304.79,153.63
100,75,319.83,153.81
100,76,319.23,158.89
100,77,288.05,143.78
100,78,298.34,147.03
100,79,301.54,150.35
100,80,292.73,142.46
100,81,286.52,145.32
100,82,285.29,140.52
100,83,283.61,142.56
100,84,295.07,145.29
100,85,275.85,133.49
