N,time,comparisons,swaps
100,0.0009380999999848427,1381,1281
200,0.0033091000000240456,5291,5089
300,0.007846299999982875,11630,11330
400,0.011409699999603617,20506,20106
500,0.017865700000129436,31966,31464
600,0.028280200000153854,45755,45155
700,0.03627230000029158,62131,61431
800,0.0697559000000183,81141,80339
900,0.07621719999997367,102380,101480
1000,0.0713196000001517,126256,125256
1100,0.084038199999668,152816,151714
1200,0.09929529999999431,181505,180305
1300,0.20748090000006414,212881,211581
1400,0.14038849999997183,246991,245589
1500,0.15582660000018222,283130,281630
1600,0.18060349999996106,322006,320406
1700,0.20809660000031727,363666,361964
1800,0.22994250000010652,407255,405455
1900,0.2511866999998347,453631,451731
2000,0.2755087000000458,502841,500839
2100,0.29602810000005775,553880,551780
2200,0.3318404000001465,607756,605556
2300,0.356350300000031,664516,662214
2400,0.40169390000028216,723005,720605
2500,0.4349692999999206,784381,781881
2600,0.4703423000000839,848691,846089
2700,0.549081600000136,914630,911930
2800,0.6434973999998874,983506,980706
2900,0.6063038000002052,1055366,1052464
3000,0.6646457000001647,1128755,1125755
3100,0.699161500000173,1205131,1202031
3200,0.7477797000001374,1284541,1281339
3300,0.742400500000258,1365380,1362080
3400,0.7776358000000982,1449256,1445856
3500,0.8324772000000848,1536216,1532714
3600,0.9886137999997118,1624505,1620905
3700,0.9938462000000072,1715881,1712181
3800,1.1589591000001747,1810391,1806589
3900,1.097633400000177,1906130,1902230
4000,1.100534499999867,2005006,2001006
4100,1.1495098999998845,2107066,2102964
4200,1.3561383999999634,2210255,2206055
4300,1.369201299999986,2316631,2312331
4400,1.393696899999668,2426241,2421839
4500,1.524210900000071,2536880,2532380
4600,1.460276199999953,2650756,2646156
4700,1.6015567999997984,2767916,2763214
4800,1.7078930000002401,2886005,2881205
4900,1.6547904999997627,3007381,3002481
5000,1.846663499999977,3132091,3127089
5100,1.8944571000001815,3257630,3252530
5200,2.027704700000413,3386506,3381306
5300,1.9355298999998922,3518766,3513464
5400,2.2848073999998633,3651755,3646355
5500,2.3179196000000957,3788131,3782631
5600,2.263362000000143,3927941,3922339
5700,2.551384699999744,4068380,4062680
5800,2.4482238000000507,4212256,4206456
5900,2.7752248999995572,4359616,4353714
6000,2.957666500000414,4507505,4501505
6100,2.8291021999993973,4658881,4652781
6200,3.0870601999995415,4813791,4807589
6300,3.041072600000007,4969130,4962830
6400,3.2713269999994736,5128006,5121606
6500,3.0719895000001998,5290466,5283964
6600,3.3419535000002725,5453255,5446655
6700,3.1473292999999103,5619631,5612931
6800,3.4665696000001844,5789641,5782839
6900,3.512073099999725,5959880,5952980
7000,3.563855700000204,6133756,6126756
7100,3.7529107999998814,6311316,6304214
7200,3.644134899999699,6489005,6481805
7300,3.9307699000000866,6670381,6663081
7400,4.483447399999932,6855491,6848089
7500,5.522421499999837,7040630,7033130
7600,4.886684199999763,7229506,7221906
7700,4.908870600000228,7422166,7414464
7800,5.46073989999968,7614755,7606955
7900,4.394662499999868,7811131,7803231
8000,4.875829799999337,8011341,8003339
8100,4.959959200000412,8211380,8203280
8200,5.406924399999298,8415256,8407056
8300,5.385471999999936,8623016,8614714
8400,5.186861299999691,8830505,8822105
8500,5.327450499999941,9041881,9033381
8600,5.740970699999707,9257191,9248589
8700,5.889755199999854,9472130,9463430
8800,5.965755199999876,9691006,9682206
8900,7.7015078000004,9913866,9904964
9000,6.212652300000627,10136255,10127255
9100,6.36906050000016,10362631,10353531
9200,6.516581199999564,10593041,10583839
9300,6.635475899999619,10822880,10813580
9400,6.857752300000357,11056756,11047356
9500,6.919156899999507,11294716,11285214
9600,7.012656800000514,11532005,11522405
9700,8.120739599999979,11773381,11763681
9800,7.066979799999899,12018891,12009089
9900,7.549181100000169,12263630,12253730
10000,10.133596099999522,12512506,12502506
