N,time,comparisons,swaps
100,0.0005413000003500201,720,614
200,0.0015983999996933562,2468,2262
300,0.003805600000305276,5290,4984
400,0.005224300000008952,9105,8705
500,0.009150800000043091,14045,13545
600,0.010952800000268326,20059,19459
700,0.025733599999966827,27147,26447
800,0.030137400000057823,35495,34689
900,0.025452599999880476,44743,43837
1000,0.03180689999999231,55065,54059
1100,0.03602390000014566,66230,65130
1200,0.039742699999806064,78670,77470
1300,0.04867289999992863,92184,90884
1400,0.0560949000000619,106772,105372
1500,0.06731190000027709,122770,121264
1600,0.07361660000015036,139518,137912
1700,0.08192790000020977,157340,155634
1800,0.10751789999994799,175855,174055
1900,0.10160790000009001,195795,193895
2000,0.11146770000004835,216809,214809
2100,0.12044600000035643,238897,236797
2200,0.14522310000029393,262545,260339
2300,0.16018750000012005,286793,284487
2400,0.16264460000002146,312115,309709
2500,0.17982459999984712,337980,335480
2600,0.19882209999968836,365420,362820
2700,0.22518659999968804,393934,391234
2800,0.23450290000027962,423522,420722
2900,0.2470284000000902,454820,451914
3000,0.27441640000006373,486568,483562
3100,0.28762929999993503,519390,516284
3200,0.29514190000008966,552605,549405
3300,0.31488839999974516,587545,584245
3400,0.3256055000001652,623559,620159
3500,0.34953630000018165,660647,657147
3600,0.3911584000002222,699595,695989
3700,0.42414899999994304,738843,735137
3800,0.4455784000001586,779165,775359
3900,0.4377282999998897,819730,815830
4000,0.4645871000002444,862170,858170
4100,0.4841645999999855,905684,901584
4200,0.5306217999996079,950272,946072
4300,0.545707499999935,996870,992564
4400,0.5987774999998692,1043618,1039212
4500,0.5900425999998333,1091440,1086934
4600,0.6760009999998147,1139355,1134755
4700,0.6629828000000089,1189295,1184595
4800,0.717559700000038,1240309,1235509
4900,0.6941314999999122,1292397,1287497
5000,0.7880620000000818,1346645,1341639
5100,0.7803152999999838,1400893,1395787
5200,0.8135275999998157,1456215,1451009
5300,0.8272151000001031,1511480,1506180
5400,1.0175122000000556,1568920,1563520
5500,0.9575682999998207,1627434,1621934
5600,1.0739945000000262,1687022,1681422
5700,1.0548976000000039,1748920,1743214
5800,1.014081399999668,1810668,1804862
5900,1.235888399999567,1873490,1867584
6000,1.2617214000001695,1936105,1930105
6100,1.2623005000004923,2001045,1994945
6200,1.1943190000001778,2067059,2060859
6300,1.3778838999996879,2134147,2127847
6400,1.2664293999996517,2203695,2197289
6500,1.466849700000239,2272943,2266437
6600,1.2796941999995397,2343265,2336659
6700,1.3764854000000923,2413230,2406530
6800,1.3757740999999442,2485670,2478870
6900,1.515455099999599,2559184,2552284
7000,1.4318057000000408,2633772,2626772
7100,1.6279165000005378,2710970,2703864
7200,1.6311216000003697,2787718,2780512
7300,1.6804877000004126,2865540,2858234
7400,1.859042899999622,2942855,2935455
7500,2.4615791999995054,3022795,3015295
7600,1.8099241999998412,3103809,3096209
7700,2.1155025999996724,3185897,3178197
7800,2.308535199999824,3270745,3262939
7900,2.090363000000252,3354993,3347087
8000,1.916950199999519,3440315,3432309
8100,1.945076899999549,3524980,3516880
8200,2.5325395999998364,3612420,3604220
8300,2.297606000000087,3700934,3692634
8400,2.697607000000062,3790522,3782122
8500,2.394967700000052,3883020,3874514
8600,2.491896700000325,3974768,3966162
8700,2.25292939999963,4067590,4058884
8800,2.548900899999353,4159605,4150805
8900,2.455957699999999,4254545,4245645
9000,2.4508910000004107,4350559,4341559
9100,2.5286401000003025,4447647,4438547
9200,2.622233899999628,4547795,4538589
9300,2.6389791000001424,4647043,4637737
9400,2.6960228999996616,4747365,4737959
9500,2.8512277999998332,4846730,4837230
9600,3.1230816999996023,4949170,4939570
9700,3.00092179999956,5052684,5042984
9800,3.583784299999934,5157272,5147472
9900,3.0410390999995798,5265070,5255164
10000,3.348682799999551,5371818,5361812
