N,time,comparisons,swaps
100,0.00045030000001133885,598,498
200,0.0016403000004174828,2023,1815
300,0.0024434000001747336,4172,3872
400,0.004129799999645911,7309,6901
500,0.00708840000015698,11082,10582
600,0.010412800000267453,15931,15323
700,0.015053600000101142,21328,20628
800,0.01888939999980721,27889,27081
900,0.01818269999967015,34910,34010
1000,0.025615000000016153,42973,41973
1100,0.02919949999977689,52098,50990
1200,0.03400740000006408,61547,60347
1300,0.03743160000021817,72384,71076
1400,0.04282119999970746,83457,82057
1500,0.05036629999995057,96006,94498
1600,0.062127700000019104,108703,107103
1700,0.07157280000001265,122964,121256
1800,0.0796186000002308,137285,135485
1900,0.07860970000001544,152848,150948
2000,0.08861399999977948,169673,167665
2100,0.09762020000016491,186422,184322
2200,0.1082154000000628,204959,202751
2300,0.11611489999995683,223332,221032
2400,0.1239463000001706,243581,241173
2500,0.13617889999977706,263578,261078
2600,0.15525429999979679,285539,282931
2700,0.16611879999982193,307160,304460
2800,0.18049380000002202,330223,327423
2900,0.1882463000001735,354748,351840
3000,0.20629830000007132,378797,375797
3100,0.22733519999974305,405034,401926
3200,0.22580909999987853,430707,427507
3300,0.23732699999982287,458656,455348
3400,0.25743439999996554,485953,482553
3500,0.26739409999981945,515614,512106
3600,0.3078366999998252,544535,540935
3700,0.3171804000003249,575098,571398
3800,0.3457318999999188,607323,603515
3900,0.33878539999977875,638672,634772
4000,0.35736020000013013,672609,668601
4100,0.3690851000001203,705582,701482
4200,0.40037939999956507,741231,737023
4300,0.4401834999998755,775828,771528
4400,0.4338493999998718,813189,808781
4500,0.45209620000014183,849410,844910
4600,0.5186688000003414,887473,882873
4700,0.5204828000000816,927398,922690
4800,0.5357174000000668,966047,961247
4900,0.5393736000000899,1007684,1002776
5000,0.5827577000000019,1047957,1042957
5100,0.6062039000003097,1091306,1086198
5200,0.6052145000003293,1133203,1128003
5300,0.7059121000002051,1178264,1172956
5400,0.8885392000001957,1221785,1216385
5500,0.7127839999998287,1267348,1261848
5600,0.7780729000000974,1314973,1309365
5700,0.8301891999999498,1360922,1355222
5800,0.7793861000000106,1410259,1404451
5900,0.8725153000004866,1457832,1451932
6000,0.8880741999992097,1508881,1502873
6100,1.0041733999996723,1558078,1551978
6200,0.9943670000002385,1610839,1604631
6300,1.0931603999997606,1661660,1655360
6400,1.0798459000006915,1714723,1708323
6500,1.1070480000007592,1770048,1763540
6600,0.9917372999998406,1823297,1816697
6700,1.0642234000006283,1880334,1873626
6800,1.0568451999997706,1935207,1928407
6900,1.1397486999994726,1993956,1987048
7000,1.119945800000096,2050453,2043453
7100,1.2202558999997564,2110914,2103806
7200,1.307242099999712,2169035,2161835
7300,1.331694200000129,2229598,2222298
7400,1.6904242000000522,2292623,2285215
7500,1.6383954000002632,2353172,2345672
7600,1.4099203000005218,2417909,2410301
7700,1.503005999999914,2480082,2472382
7800,1.6990748999996867,2546531,2538723
7900,1.5568925000006857,2610328,2602428
8000,1.6349068999998053,2678489,2670481
8100,1.6516194999994696,2743910,2735810
8200,1.575670799999898,2811973,2803773
8300,1.7746494000002713,2882698,2874390
8400,1.7949172999997245,2950547,2942147
8500,1.8604103000006944,3022984,3014476
8600,1.9156756000002133,3092457,3083857
8700,2.098440699999628,3166606,3157898
8800,2.3177260000002207,3237703,3228903
8900,2.094443699999829,3313564,3304656
9000,2.0652856999995493,3386285,3377285
9100,2.0640439999997398,3461848,3452748
9200,2.133611199999905,3540273,3531065
9300,2.2751906000003146,3615422,3606122
9400,2.32429460000003,3695559,3686151
9500,2.3645247999993444,3772332,3762832
9600,2.7050146000001405,3854181,3844573
9700,2.4508308000004035,3932578,3922878
9800,2.32596040000044,4016139,4006331
9900,2.266941799999586,4096160,4086260
10000,2.5319365000004836,4179223,4169223
